Trans. Date;Debits;Credits;effective
2020-11-24;10.00;0;-10.0
2020-11-24;10.00;0;-10.0
2020-11-24;.75;0;-0.75
2020-11-25;10.00;0;-10.0
2020-11-25;.75;0;-0.75
2020-11-26;25.00;0;-25.0
2020-11-26;1.87;0;-1.87
2020-11-26;10.00;0;-10.0
2020-11-26;.75;0;-0.75
2020-11-26;0;400000.00;400000.0
2020-11-27;25.00;0;-25.0
2020-11-27;1.87;0;-1.87
2020-11-27;10.00;0;-10.0
2020-11-27;.75;0;-0.75
2020-11-27;10.00;0;-10.0
2020-11-27;.75;0;-0.75
2020-11-27;10.00;0;-10.0
2020-11-27;.75;0;-0.75
2020-11-27;10.00;0;-10.0
2020-11-27;.75;0;-0.75
2020-11-27;25.00;0;-25.0
2020-11-27;1.87;0;-1.87
2020-11-27;10.00;0;-10.0
2020-11-27;.75;0;-0.75
2020-11-28;10.00;0;-10.0
2020-11-28;.75;0;-0.75
2020-11-28;25.00;0;-25.0
2020-11-28;1.87;0;-1.87
2020-11-28;10.00;0;-10.0
2020-11-28;.75;0;-0.75
2020-11-28;1.87;0;-1.87
2020-11-29;25.00;0;-25.0
2020-11-29;1.87;0;-1.87
2020-11-30;1.87;0;-1.87
2020-11-30;4000.00;0;-4000.0
2020-11-30;25.00;0;-25.0
2020-11-30;1.87;0;-1.87
2020-11-30;50.00;0;-50.0
2020-11-30;3.75;0;-3.75
2020-11-30;10.00;0;-10.0
2020-11-30;.75;0;-0.75
2020-12-01;10.00;0;-10.0
2020-12-01;.75;0;-0.75
2020-12-01;25.00;0;-25.0
2020-12-01;1.87;0;-1.87
2020-12-01;10.00;0;-10.0
2020-12-01;.75;0;-0.75
2020-12-02;25.00;0;-25.0
2020-12-02;1.87;0;-1.87
2020-12-02;10.00;0;-10.0
2020-12-02;.75;0;-0.75
2020-12-02;10.00;0;-10.0
2020-12-02;.75;0;-0.75
2020-12-02;25.00;0;-25.0
2020-12-02;1.87;0;-1.87
2020-12-02;0;60000.00;60000.0
2020-12-02;10.00;0;-10.0
2020-12-02;.75;0;-0.75
2020-12-02;10.00;0;-10.0
2020-12-02;.75;0;-0.75
2020-12-02;10.00;0;-10.0
2020-12-02;.75;0;-0.75
2020-12-03;10.00;0;-10.0
2020-12-03;.75;0;-0.75
2020-12-03;.75;0;-0.75
2020-12-03;10.00;0;-10.0
2020-12-03;.75;0;-0.75
2020-12-04;10.00;0;-10.0
2020-12-04;.75;0;-0.75
2020-12-04;25.00;0;-25.0
2020-12-04;1.87;0;-1.87
2020-12-04;25.00;0;-25.0
2020-12-04;10.00;0;-10.0
2020-12-04;.75;0;-0.75
