Trans. Date;Debits;Credits;effective
2021-01-28;10000.00;0;-10000.0
2021-01-31;10000.00;0;-10000.0
2021-02-17;5000.00;0;-5000.0
2021-02-19;5000.00;0;-5000.0
2021-02-25;10000.00;0;-10000.0
2021-02-25;5000.00;0;-5000.0
2021-03-07;5000.00;0;-5000.0
2021-03-24;10000.00;0;-10000.0
2021-04-07;10000.00;0;-10000.0
2021-04-07;10000.00;0;-10000.0
2021-04-07;10000.00;0;-10000.0
2021-04-21;35.00;0;-35.0
2021-04-21;10000.00;0;-10000.0
2021-04-21;35.00;0;-35.0
2021-04-21;5000.00;0;-5000.0
2021-05-11;5000.00;0;-5000.0
2021-05-11;5000.00;0;-5000.0
2021-05-19;10000.00;0;-10000.0
