Trans. Date;Debits;Credits;effective
2021-03-03;2000.00;0;-2000.0
2021-03-03;14000.00;0;-14000.0
2021-03-04;0;4000.00;4000.0
2021-03-04;0;10000.00;10000.0
2021-03-04;10.00;0;-10.0
2021-03-04;.75;0;-0.75
2021-03-04;1400.00;0;-1400.0
2021-03-04;13000.00;0;-13000.0
2021-03-05;25.0;0;-25.0
2021-03-05;1.87;0;-1.87
2021-03-05;900.0;0;-900.0
2021-03-05;50.0;0;-50.0
2021-03-05;0;1500.00;1500.0
2021-03-05;1500.00;0;-1500.0
2021-03-06;0;10000.00;10000.0
2021-03-06;2950.00;0;-2950.0
2021-03-07;0;860.00;860.0
2021-03-07;.75;0;-0.75
2021-03-08;0;18200.00;18200.0
2021-03-08;10.00;0;-10.0
2021-03-08;.75;0;-0.75
2021-03-08;.75;0;-0.75
2021-03-08;2200.00;0;-2200.0
2021-03-08;10.00;0;-10.0
2021-03-08;.75;0;-0.75
2021-03-08;1912.00;0;-1912.0
2021-03-09;0;2300.00;2300.0
2021-03-09;5200.00;0;-5200.0
2021-03-09;0;6000.00;6000.0
2021-03-10;0;2900.00;2900.0
2021-03-10;2974.00;0;-2974.0
2021-03-10;0;10000.00;10000.0
